model,params_M,FPS,latency_ms,AP@[.5:.95],AP@.5,AP@.75,AP_small,AP_medium,AP_large,AR@1,AR@10,AR@100,AR_small,AR_medium,AR_large
yolov8-base,3.011043,188.4773803093609,5.305676460266113,0.10414915872321612,0.2695265648356608,0.06039059262687348,0.07282696394451899,0.36972565740859803,0.513818796412154,0.012734643196260317,0.06945803812723686,0.1526769410561683,0.12221686165721868,0.4497928748964375,0.6031578947368421
yolov8-p2,2.926692,135.9426554152076,7.356042861938477,0.12601626243753683,0.32299724254418277,0.07188030889908913,0.09595325782519522,0.3711549448991324,0.4545015296415387,0.013603827331823826,0.08080125629975896,0.18892338032283978,0.1619868934185663,0.4530240265120134,0.5652631578947368
yolov8-p2-cbam,2.932104,134.35522175974006,7.44295597076416,0.12478100663339908,0.3232016983361256,0.07280221290099115,0.09747157508222852,0.3705869468364083,0.46394032790404716,0.013815645314440145,0.08051639763348185,0.18852165656270542,0.16121095163430227,0.4568351284175642,0.5536842105263158
yolov8-p2-cbam-scdown,2.852296,137.36822988940924,7.279703617095947,0.1243964302097353,0.32397558565795415,0.07201206761304833,0.09590214821165467,0.37599069395594886,0.4799422246211962,0.0141406763567307,0.08036301219779417,0.18752099919655246,0.1601374984923411,0.45530240265120125,0.5778947368421052
yolov10,2.70743,111.01008414081538,9.008190631866455,0.10416666381166265,0.26446584475067264,0.062036105561207026,0.07383594134167229,0.3764974903377265,0.5257611011521885,0.012011540428018407,0.07073259805711782,0.16816156599225768,0.13558477063482494,0.4859983429991715,0.6410526315789474
yolov12,2.568243,83.06282770207915,12.039079666137695,0.10532072727854935,0.2764459873674555,0.06197718746412852,0.07597925683721019,0.37341565111196273,0.5179401943337075,0.013056022204367834,0.0732817179168797,0.15673435103352568,0.12599605998472238,0.4567522783761392,0.608421052631579
