model,params_M,FPS,latency_ms,AP@[.5:.95],AP@.5,AP@.75,AP_small,AP_medium,AP_large,AR@1,AR@10,AR@100,AR_small,AR_medium,AR_large
yolov8s,11.135987,185.05920671212363,5.4036760330200195,0.11936699411620964,0.2997696319979994,0.07475199252607943,0.08929052345369885,0.3924798522525997,0.5579265756003147,0.013786429040975823,0.07845665035424733,0.17208385070484258,0.1415269569412616,0.4691383595691798,0.6494736842105263
yolov8-base,3.011043,191.4675742990074,5.222816467285156,0.10414915872321612,0.2695265648356608,0.06039059262687348,0.07282696394451899,0.36972565740859803,0.513818796412154,0.012734643196260317,0.06945803812723686,0.1526769410561683,0.12221686165721868,0.4497928748964375,0.6031578947368421
yolov8-p2,2.926692,150.01913553178537,6.665816307067871,0.12601626243753683,0.32299724254418277,0.07188030889908913,0.09595325782519522,0.3711549448991324,0.4545015296415387,0.013603827331823826,0.08080125629975896,0.18892338032283978,0.1619868934185663,0.4530240265120134,0.5652631578947368
yolov8-p2-cbam,2.932104,137.81657069931092,7.256021499633789,0.12478100663339908,0.3232016983361256,0.07280221290099115,0.09747157508222852,0.3705869468364083,0.46394032790404716,0.013815645314440145,0.08051639763348185,0.18852165656270542,0.16121095163430227,0.4568351284175642,0.5536842105263158
yolov8-p2-cbam-scdown,2.852296,136.60452599157307,7.320401668548584,0.1243964302097353,0.32397558565795415,0.07201206761304833,0.09590214821165467,0.37599069395594886,0.4799422246211962,0.0141406763567307,0.08036301219779417,0.18752099919655246,0.1601374984923411,0.45530240265120125,0.5778947368421052
yolov10,2.70743,115.1999964843751,8.680555820465088,0.10416666381166265,0.26446584475067264,0.062036105561207026,0.07383594134167229,0.3764974903377265,0.5257611011521885,0.012011540428018407,0.07073259805711782,0.16816156599225768,0.13558477063482494,0.4859983429991715,0.6410526315789474
yolov12,2.568243,81.28492973452336,12.302403450012207,0.10532072727854935,0.2764459873674555,0.06197718746412852,0.07597925683721019,0.37341565111196273,0.5179401943337075,0.013056022204367834,0.0732817179168797,0.15673435103352568,0.12599605998472238,0.4567522783761392,0.608421052631579
yolov11,2.590035,128.95294050731957,7.754766941070557,0.10487673940654241,0.2743209465374226,0.05917205500850665,0.07504450333594789,0.3749728078675923,0.5286388826293859,0.012833248119202398,0.0720838507048426,0.15647505660652983,0.12571060989828325,0.45650372825186414,0.623157894736842
